# キャスコ花葉CLUB 本コース・花葉コース - Hole-by-Hole Data

## LINDOW COURSE (リンドウコース)

| Hole | Par | Black | Blue | White | Red | HDCP |
|------|-----|-------|------|-------|-----|------|
| 1 | 5 | 520 | 511 | 501 | 479 | — |
| 2 | 4 | 438 | 424 | 413 | 354 | — |
| 3 | 4 | 356 | 347 | 337 | 315 | — |
| 4 | 4 | 329 | 312 | 298 | 288 | — |
| 5 | 3 | 173 | 157 | 147 | 140 | — |
| 6 | 4 | 384 | 371 | 350 | 309 | — |
| 7 | 3 | 177 | 165 | 151 | 142 | — |
| 8 | 4 | 357 | 348 | 330 | 313 | — |
| 9 | 5 | 501 | 484 | 470 | 428 | — |

## SIBAZAKURA COURSE (シバザクラコース)

| Hole | Par | Black | Blue | White | Red | HDCP |
|------|-----|-------|------|-------|-----|------|
| 1 | 4 | 369 | 361 | 354 | 339 | — |
| 2 | 3 | 185 | 170 | 156 | 141 | — |
| 3 | 4 | 406 | 397 | 387 | 331 | — |
| 4 | 5 | 448 | 434 | 420 | 369 | — |
| 5 | 4 | 330 | 322 | 315 | 307 | — |
| 6 | 4 | 360 | 348 | 335 | 323 | — |
| 7 | 4 | 376 | 367 | 353 | 282 | — |
| 8 | 5 | 448 | 434 | 419 | 395 | — |
| 9 | 3 | 181 | 156 | 143 | 130 | — |

## CATTLEYA COURSE (カトレアコース)

| Hole | Par | Black | Blue | White | Red | HDCP |
|------|-----|-------|------|-------|-----|------|
| 1 | 4 | 419 | 386 | 366 | 246 | — |
| 2 | 4 | 472 | 409 | 377 | 313 | — |
| 3 | 4 | 371 | 348 | 334 | 316 | — |
| 4 | 3 | 187 | 138 | 128 | 99 | — |
| 5 | 5 | 471 | 442 | 414 | 385 | — |
| 6 | 5 | 528 | 502 | 473 | 383 | — |
| 7 | 3 | 176 | 154 | 154 | 124 | — |
| 8 | 4 | 342 | 326 | 307 | 294 | — |
| 9 | 4 | 355 | 328 | 302 | 275 | — |

## LAVENDER COURSE (ラベンダーコース)

| Hole | Par | Black | Blue | White | Red | HDCP |
|------|-----|-------|------|-------|-----|------|
| 1 | 3 | 190 | 174 | 154 | 139 | — |
| 2 | 5 | 568 | 534 | 507 | 430 | — |
| 3 | 4 | 451 | 432 | 398 | 299 | — |
| 4 | 4 | 380 | 354 | 303 | 277 | — |
| 5 | 3 | 188 | 170 | 147 | 131 | — |
| 6 | 5 | 527 | 504 | 482 | 386 | — |
| 7 | 3 | 195 | 185 | 141 | 126 | — |
| 8 | 4 | 313 | 295 | 275 | 226 | — |
| 9 | 5 | 523 | 508 | 496 | 419 | — |

## SALVIA COURSE (サルビアコース)

| Hole | Par | Black | Blue | White | Red | HDCP |
|------|-----|-------|------|-------|-----|------|
| 1 | 5 | 557 | 542 | 529 | 488 | — |
| 2 | 5 | 482 | 459 | 445 | 399 | — |
| 3 | 3 | 165 | 144 | 137 | 96 | — |
| 4 | 4 | 338 | 325 | 312 | 269 | — |
| 5 | 4 | 333 | 311 | 295 | 227 | — |
| 6 | 4 | 347 | 333 | 319 | 255 | — |
| 7 | 4 | 347 | 325 | 304 | 283 | — |
| 8 | 4 | 342 | 330 | 314 | 303 | — |
| 9 | 3 | 174 | 140 | 125 | 87 | — |
