# 新千葉カントリー倶楽部 - Hole-by-Hole Data

## あさぎりOUT

| Hole | Par | HDCP | Back T. (Y) | Reg. (Y) |
|------|-----|------|-------------|----------|
| 1 | 4 | 9 | 407 | 383 |
| 2 | 5 | 13 | 524 | 504 |
| 3 | 4 | 1 | 425 | 406 |
| 4 | 4 | 5 | 426 | 403 |
| 5 | 3 | 17 | 182 | 174 |
| 6 | 4 | 15 | 368 | 347 |
| 7 | 5 | 3 | 584 | 551 |
| 8 | 3 | 11 | 201 | 185 |
| 9 | 4 | 7 | 448 | 426 |

## あさぎりIN

| Hole | Par | HDCP | Back T. (Y) | Reg. (Y) |
|------|-----|------|-------------|----------|
| 10 | 4 | 2 | 420 | 403 |
| 11 | 5 | 10 | 522 | 495 |
| 12 | 4 | 18 | 348 | 332 |
| 13 | 3 | 16 | 157 | 141 |
| 14 | 4 | 4 | 422 | 402 |
| 15 | 5 | 12 | 537 | 525 |
| 16 | 4 | 8 | 410 | 398 |
| 17 | 3 | 14 | 180 | 154 |
| 18 | 4 | 6 | 464 | 445 |

## つくもOUT

| Hole | Par | HDCP | Back T. (Y) | Reg. (Y) |
|------|-----|------|-------------|----------|
| 1 | 4 | 5 | 395 | 376 |
| 2 | 4 | 1 | 421 | 397 |
| 3 | 3 | 11 | 163 | 140 |
| 4 | 4 | 9 | 332 | 313 |
| 5 | 4 | 7 | 322 | 301 |
| 6 | 5 | 13 | 491 | 471 |
| 7 | 3 | 17 | 148 | 130 |
| 8 | 5 | 3 | 568 | 554 |
| 9 | 4 | 15 | 358 | 333 |

## つくもIN

| Hole | Par | HDCP | Back T. (Y) | Reg. (Y) |
|------|-----|------|-------------|----------|
| 10 | 5 | 12 | 534 | 515 |
| 11 | 4 | 8 | 398 | 385 |
| 12 | 3 | 18 | 158 | 125 |
| 13 | 5 | 4 | 494 | 475 |
| 14 | 3 | 14 | 152 | 140 |
| 15 | 4 | 6 | 334 | 322 |
| 16 | 4 | 16 | 376 | 358 |
| 17 | 4 | 2 | 439 | 423 |
| 18 | 4 | 10 | 398 | 385 |

## たちばなOUT

| Hole | Par | HDCP | Back T. (Y) | Reg. (Y) |
|------|-----|------|-------------|----------|
| 1 | 5 | 15 | 482 | 438 |
| 2 | 3 | 9 | 230 | 210 |
| 3 | 4 | 17 | 333 | 311 |
| 4 | 3 | 13 | 170 | 160 |
| 5 | 4 | 1 | 397 | 377 |
| 6 | 5 | 5 | 479 | 459 |
| 7 | 4 | 11 | 303 | 290 |
| 8 | 3 | 7 | 182 | 161 |
| 9 | 5 | 3 | 505 | 475 |

## たちばなIN

| Hole | Par | HDCP | Back T. (Y) | Reg. (Y) |
|------|-----|------|-------------|----------|
| 10 | 5 | 16 | 470 | 450 |
| 11 | 3 | 18 | 160 | 143 |
| 12 | 4 | 6 | 366 | 337 |
| 13 | 4 | 2 | 412 | 398 |
| 14 | 4 | 8 | 369 | 350 |
| 15 | 3 | 10 | 175 | 158 |
| 16 | 4 | 14 | 335 | 309 |
| 17 | 4 | 4 | 358 | 327 |
| 18 | 5 | 12 | 494 | 477 |
