# 総武カントリークラブ 総武コース - Hole-by-Hole Data

## East Course (東)

| Hole | Par | Black | Blue | White | Red | HDCP |
|------|-----|-------|------|-------|-----|------|
| 1 | 5 | 506 | 486 | 463 | 416 | 15 |
| 2 | 4 | 383 | 369 | 333 | 277 | 9 |
| 3 | 3 | 210 | 192 | 167 | 154 | 3 |
| 4 | 4 | 424 | 404 | 391 | 371 | 7 |
| 5 | 4 | 446 | 435 | 374 | 319 | 1 |
| 6 | 3 | 174 | 174 | 163 | 151 | 13 |
| 7 | 4 | 452 | 439 | 421 | 307 | 11 |
| 8 | 5 | 597 | 577 | 531 | 468 | 5 |
| 9 | 4 | 373 | 353 | 348 | 328 | 17 |

## Middle Course (中)

| Hole | Par | Black | Blue | White | Red | HDCP |
|------|-----|-------|------|-------|-----|------|
| 10 | 5 | 523 | 506 | 482 | 442 | 10 |
| 11 | 4 | 387 | 372 | 352 | 313 | 16 |
| 12 | 4 | 420 | 400 | 370 | 297 | 4 |
| 13 | 3 | 197 | 176 | 152 | 132 | 14 |
| 14 | 4 | 442 | 422 | 402 | 323 | 2 |
| 15 | 4 | 394 | 380 | 351 | 337 | 8 |
| 16 | 3 | 171 | 163 | 153 | 138 | 18 |
| 17 | 5 | 595 | 572 | 526 | 465 | 6 |
| 18 | 4 | 425 | 376 | 363 | 351 | 12 |

## West Course (西)

| Hole | Par | Black | Blue | White | Red | HDCP |
|------|-----|-------|------|-------|-----|------|
| 1 | 5 | 502 | 482 | 462 | 418 | 5 |
| 2 | 4 | 388 | 373 | 340 | 316 | 8 |
| 3 | 4 | 469 | 450 | 429 | 374 | 2 |
| 4 | 3 | 178 | 161 | 152 | 132 | 7 |
| 5 | 4 | 381 | 361 | 339 | 316 | 4 |
| 6 | 4 | 433 | 407 | 381 | 288 | 1 |
| 7 | 3 | 215 | 194 | 174 | 153 | 9 |
| 8 | 4 | 421 | 406 | 386 | 296 | 6 |
| 9 | 5 | 537 | 522 | 481 | 456 | 3 |
