# 鷹之台カンツリー倶楽部 - Hole-by-Hole Data

## Bent Green OUT (ベントグリーンOUT)

| Hole | Par | HDCP | Fullback | Back | Regular | Front | Ladies |
|------|-----|------|----------|------|---------|-------|--------|
| 1 | 4 | 11 | 427 | 427 | 402 | 375 | 357 |
| 2 | 4 | 3 | 399 | 399 | 371 | 347 | 332 |
| 3 | 3 | 17 | 186 | 168 | 147 | 133 | 133 |
| 4 | 5 | 7 | 538 | 538 | 517 | 499 | 471 |
| 5 | 4 | 1 | 416 | 416 | 393 | 364 | 348 |
| 6 | 5 | 5 | 590 | 564 | 545 | 516 | 483 |
| 7 | 3 | 15 | 205 | 205 | 186 | 175 | 155 |
| 8 | 4 | 13 | 368 | 361 | 339 | 329 | 329 |
| 9 | 4 | 9 | 411 | 411 | 393 | 370 | 357 |

## Bent Green IN (ベントグリーンIN)

| Hole | Par | HDCP | Fullback | Back | Regular | Front | Ladies |
|------|-----|------|----------|------|---------|-------|--------|
| 10 | 4 | 6 | 447 | 447 | 414 | 397 | 367 |
| 11 | 4 | 12 | 406 | 406 | 372 | 343 | 329 |
| 12 | 4 | 4 | 363 | 363 | 338 | 319 | 303 |
| 13 | 3 | 18 | 171 | 171 | 150 | 144 | 144 |
| 14 | 5 | 2 | 606 | 586 | 536 | 508 | 494 |
| 15 | 3 | 14 | 233 | 233 | 205 | 191 | 171 |
| 16 | 4 | 8 | 434 | 417 | 397 | 369 | 351 |
| 17 | 4 | 10 | 404 | 404 | 374 | 350 | 320 |
| 18 | 5 | 16 | 528 | 528 | 506 | 489 | 446 |

## Kourai Green OUT (コウライグリーンOUT)

| Hole | Par | HDCP | Fullback | Back | Regular | Front | Ladies |
|------|-----|------|----------|------|---------|-------|--------|
| 1 | 4 | 11 | 419 | 419 | 394 | 367 | 349 |
| 2 | 4 | 3 | 383 | 383 | 355 | 331 | 316 |
| 3 | 3 | 17 | 163 | 145 | 124 | 110 | 107 |
| 4 | 5 | 7 | 511 | 511 | 490 | 472 | 444 |
| 5 | 4 | 1 | 429 | 429 | 406 | 377 | 361 |
| 6 | 5 | 5 | 567 | 541 | 522 | 493 | 460 |
| 7 | 3 | 15 | 199 | 199 | 180 | 169 | 149 |
| 8 | 4 | 13 | 369 | 362 | 340 | 330 | 330 |
| 9 | 4 | 9 | 407 | 407 | 389 | 366 | 353 |

## Kourai Green IN (コウライグリーンIN)

| Hole | Par | HDCP | Fullback | Back | Regular | Front | Ladies |
|------|-----|------|----------|------|---------|-------|--------|
| 10 | 4 | 6 | 437 | 437 | 404 | 387 | 357 |
| 11 | 4 | 12 | 386 | 386 | 352 | 323 | 309 |
| 12 | 4 | 4 | 362 | 362 | 337 | 318 | 302 |
| 13 | 3 | 18 | 159 | 159 | 138 | 132 | 132 |
| 14 | 5 | 2 | 588 | 568 | 518 | 490 | 476 |
| 15 | 3 | 14 | 220 | 220 | 192 | 178 | 158 |
| 16 | 4 | 8 | 416 | 399 | 379 | 351 | 333 |
| 17 | 4 | 10 | 419 | 419 | 389 | 365 | 335 |
| 18 | 5 | 16 | 518 | 518 | 496 | 479 | 436 |
