# 千葉よみうりカントリークラブ - ホール別データ

## Aグリーン OUT

| HOLE | Par | HDCP | ブラック | ブルー | ホワイト | レッド | ピンク |
|------|-----|------|---------|--------|---------|--------|--------|
| 1 | 4 | 3 | 423 | 400 | 380 | 380 | 283 |
| 2 | 3 | 15 | 158 | 137 | 122 | 122 | 122 |
| 3 | 4 | 9 | 333 | 308 | 308 | 308 | 243 |
| 4 | 5 | 7 | 573 | 548 | 523 | 423 | 423 |
| 5 | 4 | 1 | 393 | 371 | 371 | 351 | 334 |
| 6 | 3 | 13 | 162 | 148 | 126 | 110 | 110 |
| 7 | 4 | 17 | 345 | 333 | 328 | 303 | 303 |
| 8 | 4 | 11 | 326 | 299 | 299 | 299 | 238 |
| 9 | 5 | 5 | 515 | 495 | 478 | 405 | 405 |

## Aグリーン IN

| HOLE | Par | HDCP | ブラック | ブルー | ホワイト | レッド | ピンク |
|------|-----|------|---------|--------|---------|--------|--------|
| 10 | 5 | 4 | 508 | 485 | 463 | 463 | 392 |
| 11 | 3 | 16 | 173 | 154 | 154 | 154 | 154 |
| 12 | 4 | 10 | 312 | 297 | 287 | 287 | 267 |
| 13 | 4 | 2 | 397 | 376 | 339 | 339 | 285 |
| 14 | 4 | 8 | 419 | 392 | 367 | 367 | 310 |
| 15 | 4 | 14 | 372 | 360 | 336 | 250 | 240 |
| 16 | 4 | 12 | 354 | 344 | 325 | 325 | 272 |
| 17 | 5 | 18 | 504 | 493 | 455 | 430 | 413 |
| 18 | 3 | 6 | 224 | 202 | 189 | 158 | 158 |

## Bグリーン OUT

| HOLE | Par | HDCP | ブラック | ブルー | ホワイト | レッド | ピンク |
|------|-----|------|---------|--------|---------|--------|--------|
| 1 | 4 | 3 | 401 | 378 | 357 | 357 | 263 |
| 2 | 3 | 15 | 138 | 117 | 108 | 108 | 108 |
| 3 | 4 | 9 | 312 | 287 | 287 | 287 | 222 |
| 4 | 5 | 7 | 555 | 530 | 507 | 407 | 407 |
| 5 | 4 | 1 | 386 | 364 | 364 | 344 | 327 |
| 6 | 3 | 13 | 174 | 160 | 135 | 119 | 119 |
| 7 | 4 | 17 | 366 | 354 | 349 | 324 | 324 |
| 8 | 4 | 11 | 306 | 279 | 279 | 279 | 214 |
| 9 | 5 | 5 | 532 | 511 | 491 | 418 | 418 |

## Bグリーン IN

| HOLE | Par | HDCP | ブラック | ブルー | ホワイト | レッド | ピンク |
|------|-----|------|---------|--------|---------|--------|--------|
| 10 | 5 | 4 | 510 | 487 | 465 | 465 | 394 |
| 11 | 3 | 16 | 160 | 141 | 141 | 141 | 141 |
| 12 | 4 | 10 | 306 | 285 | 268 | 268 | 248 |
| 13 | 4 | 2 | 376 | 355 | 318 | 318 | 254 |
| 14 | 4 | 8 | 386 | 359 | 334 | 334 | 270 |
| 15 | 4 | 14 | 363 | 352 | 328 | 242 | 226 |
| 16 | 4 | 12 | 368 | 358 | 339 | 339 | 284 |
| 17 | 5 | 18 | 493 | 482 | 438 | 413 | 401 |
| 18 | 3 | 6 | 184 | 162 | 149 | 129 | 129 |

## B+グリーン OUT

| HOLE | Par | HDCP | ブラック | ブルー | ホワイト | レッド | ピンク |
|------|-----|------|---------|--------|---------|--------|--------|
| 1 | 4 | 3 | 401 | 378 | 357 | 357 | 263 |
| 2 | 3 | 15 | 138 | 117 | 108 | 108 | 108 |
| 3 | 4 | 9 | 312 | 287 | 287 | 287 | 222 |
| 4 | 5 | 7 | 555 | 530 | 507 | 407 | 407 |
| 5 | 4 | 1 | 386 | 364 | 364 | 344 | 327 |
| 6 | 3 | 13 | 174 | 160 | 135 | 119 | 119 |
| 7 | 4 | 17 | 366 | 354 | 349 | 324 | 324 |
| 8 | 4 | 11 | 306 | 279 | 279 | 279 | 214 |
| 9 | 5 | 5 | 532 | 511 | 491 | 418 | 418 |

## B+グリーン IN

| HOLE | Par | HDCP | ブラック | ブルー | ホワイト | レッド | ピンク |
|------|-----|------|---------|--------|---------|--------|--------|
| 10 | 5 | 4 | 510 | 487 | 465 | 465 | 384 |
| 11 | 3 | 16 | 160 | 141 | 141 | 141 | 141 |
| 12 | 4 | 10 | 306 | 285 | 268 | 268 | 248 |
| 13 | 4 | 2 | 376 | 355 | 318 | 318 | 254 |
| 14 | 4 | 8 | 386 | 359 | 334 | 334 | 270 |
| 15 | 4 | 14 | 363 | 352 | 328 | 242 | 226 |
| 16 | 4 | 12 | 368 | 358 | 339 | 339 | 285 |
| 17 | 5 | 18 | 493 | 482 | 438 | 413 | 401 |
| 18 | 3 | 6 | 224 | 202 | 189 | 158 | 158 |
