# 長南カントリークラブ コースレイアウト データ

## OUT (OUT OF 9 HOLES)

| HOLE | Par | HDCP | Back(B) | Reg(B) | Front(B) | Ladies(B) |
|------|-----|------|---------|--------|----------|-----------|
| 1 | 4 | 3 | 400 | 386 | 371 | 301 |
| 2 | 4 | 9 | 399 | 383 | 367 | 313 |
| 3 | 3 | 15 | 190 | 176 | 161 | 129 |
| 4 | 5 | 1 | 550 | 520 | 500 | 400 |
| 5 | 4 | 7 | 344 | 331 | 318 | 264 |
| 6 | 4 | 13 | 345 | 332 | 314 | 258 |
| 7 | 4 | 11 | 364 | 349 | 332 | 277 |
| 8 | 3 | 17 | 170 | 160 | 144 | 103 |
| 9 | 5 | 5 | 566 | 550 | 530 | 425 |

## IN (HOLES 10-18)

| HOLE | Par | HDCP | Back(B) | Reg(B) | Front(B) | Ladies(B) |
|------|-----|------|---------|--------|----------|-----------|
| 10 | 5 | 4 | 548 | 533 | 515 | 456 |
| 11 | 4 | 16 | 384 | 372 | 333 | 284 |
| 12 | 4 | 10 | 398 | 373 | 351 | 294 |
| 13 | 4 | 8 | 332 | 315 | 300 | 278 |
| 14 | 4 | 2 | 453 | 438 | 423 | 305 |
| 15 | 3 | 14 | 189 | 173 | 156 | 140 |
| 16 | 5 | 12 | 536 | 511 | 484 | 421 |
| 17 | 3 | 18 | 170 | 156 | 138 | 138 |
| 18 | 4 | 6 | 468 | 451 | 428 | 354 |

**Course Total:** 18 holes, Par 72, 6,806 yards (Regular tees)
