# 東我孫子カントリークラブ - Hole-by-Hole Data

## OUT Course

| Hole | Par | HDCP | Blue (yd) | Green (yd) | White (yd) | Orange (yd) | Water (yd) |
|------|-----|------|-----------|-----------|-----------|------------|-----------|
| 1 | 5 | 9 | 492 | 453 | 442 | 360 | 415 |
| 2 | 3 | 17 | 164 | 145 | 126 | 107 | 107 |
| 3 | 4 | 1 | 410 | 370 | 361 | 240 | 301 |
| 4 | 4 | 15 | 276 | 276 | 261 | 206 | 261 |
| 5 | 4 | 7 | 383 | 353 | 342 | 272 | 307 |
| 6 | 3 | 11 | 192 | 165 | 165 | 119 | 143 |
| 7 | 4 | 13 | 356 | 314 | 294 | 257 | 257 |
| 8 | 4 | 3 | 459 | 399 | 371 | 294 | 294 |
| 9 | 5 | 5 | 558 | 509 | 488 | 377 | 377 |

## IN Course

| Hole | Par | HDCP | Blue (yd) | Green (yd) | White (yd) | Orange (yd) | Water (yd) |
|------|-----|------|-----------|-----------|-----------|------------|-----------|
| 1 | 4 | 10 | 321 | 313 | 300 | 244 | 274 |
| 2 | 3 | 4 | 186 | 170 | 145 | 128 | 145 |
| 3 | 4 | 18 | 317 | 303 | 303 | 214 | 272 |
| 4 | 3 | 16 | 181 | 161 | 149 | 120 | 132 |
| 5 | 5 | 8 | 476 | 451 | 435 | 369 | 410 |
| 6 | 4 | 2 | 416 | 368 | 342 | 280 | 320 |
| 7 | 4 | 14 | 405 | 362 | 362 | 307 | 342 |
| 8 | 4 | 12 | 383 | 355 | 344 | 283 | 314 |
| 9 | 5 | 6 | 523 | 524 | 485 | 373 | 441 |

**Course Summary:** 27 holes, Par 108, 河川敷コース (riverside layout), 6,498 yards total
