# 東千葉カントリークラブ【アコーディア】- Hole-by-Hole Data

## West Course OUT

| Hole | Par | HDCP | Black | Blue | White | Red |
|------|-----|------|-------|------|-------|-----|
| 1 | 5 | 9 | 521 | 508 | 491 | 441 |
| 2 | 4 | 15 | 357 | 335 | 319 | 289 |
| 3 | 4 | 3 | 349 | 326 | 303 | 283 |
| 4 | 4 | 1 | 441 | 413 | 388 | 323 |
| 5 | 3 | 13 | 175 | 158 | 138 | 124 |
| 6 | 4 | 7 | 448 | 423 | 396 | 333 |
| 7 | 3 | 11 | 208 | 184 | 162 | 147 |
| 8 | 4 | 17 | 358 | 335 | 316 | 301 |
| 9 | 5 | 5 | 556 | 501 | 476 | 431 |

## West Course IN

| Hole | Par | HDCP | Black | Blue | White | Red |
|------|-----|------|-------|------|-------|-----|
| 10 | 4 | 10 | 346 | 329 | 312 | 299 |
| 11 | 5 | 4 | 556 | 536 | 514 | 453 |
| 12 | 3 | 16 | 185 | 166 | 161 | 147 |
| 13 | 4 | 14 | 380 | 364 | 344 | 327 |
| 14 | 4 | 8 | 397 | 379 | 358 | 340 |
| 15 | 5 | 2 | 526 | 502 | 478 | 453 |
| 16 | 4 | 6 | 364 | 338 | 313 | 294 |
| 17 | 3 | 12 | 195 | 178 | 161 | 145 |
| 18 | 4 | 18 | 390 | 366 | 361 | 335 |

## East Course OUT

| Hole | Par | HDCP | Black | Blue | White | Red |
|------|-----|------|-------|------|-------|-----|
| 1 | 4 | 15 | 399 | 380 | 358 | 295 |
| 2 | 3 | 9 | 231 | 164 | 164 | 143 |
| 3 | 4 | 3 | 396 | 380 | 360 | 291 |
| 4 | 4 | 13 | 424 | 389 | 367 | 317 |
| 5 | 5 | 1 | 587 | 563 | 522 | 419 |
| 6 | 4 | 7 | 456 | 434 | 312 | 247 |
| 7 | 4 | 5 | 404 | 377 | 344 | 284 |
| 8 | 3 | 17 | 159 | 137 | 137 | 110 |
| 9 | 5 | 11 | 537 | 508 | 487 | 437 |

## East Course IN

| Hole | Par | HDCP | Black | Blue | White | Red |
|------|-----|------|-------|------|-------|-----|
| 10 | 4 | 10 | 416 | 388 | 388 | 367 |
| 11 | 4 | 16 | 371 | 352 | 352 | 336 |
| 12 | 5 | 4 | 527 | 512 | 499 | 424 |
| 13 | 4 | 8 | 423 | 400 | 385 | 350 |
| 14 | 4 | 2 | 463 | 431 | 412 | 358 |
| 15 | 5 | 14 | 519 | 502 | 477 | 414 |
| 16 | 3 | 12 | 212 | 173 | 149 | 119 |
| 17 | 4 | 6 | 434 | 407 | 314 | 257 |
| 18 | 3 | 18 | 178 | 166 | 149 | 127 |

Facility Summary: 36ホール パー144 across four distinct nine-hole layouts with multiple tee options designed by Toshio Suzuki.
