# 藤ヶ谷カントリークラブ (Fujigaya Country Club) - Hole-by-Hole Data

Course Type: 18 holes, Par 72, 6,884 yards
Location: 千葉県柏市泉2348

## OUT (Front 9)

| Hole | Par | HDCP | Back | Reg | Front | Lady |
|------|-----|------|------|-----|-------|------|
| 1 | 5 | 9 | 503 | 470 | 461 | 431 |
| 2 | 3 | 13 | 200 | 183 | 150 | 150 |
| 3 | 5 | 7 | 510 | 479 | 466 | 426 |
| 4 | 4 | 3 | 432 | 412 | 346 | 346 |
| 5 | 4 | 1 | 431 | 419 | 293 | 293 |
| 6 | 3 | 17 | 161 | 147 | 140 | 130 |
| 7 | 4 | 15 | 423 | 400 | 387 | 357 |
| 8 | 4 | 11 | 360 | 330 | 315 | 295 |
| 9 | 4 | 5 | 420 | 379 | 343 | 343 |

## IN (Back 9)

| Hole | Par | HDCP | Back | Reg | Front | Lady |
|------|-----|------|------|-----|-------|------|
| 10 | 5 | 14 | 518 | 495 | 479 | 449 |
| 11 | 4 | 2 | 426 | 382 | 305 | 305 |
| 12 | 5 | 16 | 533 | 483 | 473 | 443 |
| 13 | 3 | 10 | 192 | 157 | 119 | 119 |
| 14 | 4 | 4 | 397 | 382 | 373 | 303 |
| 15 | 3 | 18 | 189 | 158 | 144 | 134 |
| 16 | 4 | 12 | 319 | 302 | 294 | 274 |
| 17 | 4 | 6 | 450 | 383 | 328 | 328 |
| 18 | 4 | 8 | 420 | 388 | 339 | 339 |
