# 富士市原ゴルフクラブ【アコーディア】 (Fuji Ichihara Golf Club) - Hole-by-Hole Data

Course Type: Hillside course, 18 holes, Par 72

## OUT (Front 9)

| Hole | Par | HDCP | Full Back | Back | Regular | Front | Ladies |
|------|-----|------|-----------|------|---------|-------|--------|
| 1 | 4 | 9 | 391 | 361 | 337 | 312 | 312 |
| 2 | 3 | 15 | 174 | 160 | 139 | 116 | 98 |
| 3 | 5 | 3 | 545 | 545 | 464 | 441 | 441 |
| 4 | 4 | 7 | 434 | 400 | 370 | 337 | 337 |
| 5 | 3 | 17 | 179 | 137 | 137 | 112 | 112 |
| 6 | 5 | 1 | 540 | 509 | 484 | 418 | 418 |
| 7 | 4 | 13 | 340 | 307 | 307 | 268 | 268 |
| 8 | 4 | 5 | 417 | 394 | 371 | 347 | 347 |
| 9 | 4 | 11 | 421 | 388 | 350 | 313 | 313 |

## IN (Back 9)

| Hole | Par | HDCP | Full Back | Back | Regular | Front | Ladies |
|------|-----|------|-----------|------|---------|-------|--------|
| 10 | 5 | 4 | 520 | 493 | 462 | 440 | 440 |
| 11 | 3 | 16 | 219 | 176 | 152 | 140 | 120 |
| 12 | 4 | 10 | 382 | 359 | 328 | 301 | 301 |
| 13 | 4 | 2 | 387 | 387 | 375 | 312 | 312 |
| 14 | 4 | 14 | 376 | 347 | 309 | 291 | 291 |
| 15 | 4 | 8 | 389 | 348 | 314 | 282 | 282 |
| 16 | 3 | 18 | 189 | 189 | 167 | 138 | 138 |
| 17 | 5 | 6 | 512 | 480 | 452 | 419 | 419 |
| 18 | 4 | 12 | 422 | 383 | 335 | 305 | 305 |

Total Yardage: OUT: 3,441 (Full Back) | IN: 3,396 (Full Back) | Combined: 6,837 yards
