# Brick & Wood Club - Hole-by-Hole Data

## OUT (Front 9)

| Hole | Par | HDCP | Black | Blue | Green | Red | White |
|------|-----|------|-------|------|-------|-----|-------|
| 1 | 5 | 9 | 531 | 495 | 460 | 424 | 460 |
| 2 | 4 | 3 | 449 | 421 | 362 | 308 | 362 |
| 3 | 3 | 15 | 222 | 196 | 161 | 131 | 161 |
| 4 | 4 | 1 | 427 | 390 | 390 | 306 | 380 |
| 5 | 3 | 13 | 157 | 135 | 135 | 119 | 128 |
| 6 | 4 | 7 | 355 | 330 | 330 | 255 | 280 |
| 7 | 4 | 17 | 353 | 342 | 342 | 312 | 327 |
| 8 | 4 | 11 | 366 | 349 | 314 | 268 | 314 |
| 9 | 5 | 5 | 559 | 506 | 488 | 439 | 488 |

## IN (Back 9)

| Hole | Par | HDCP | Black | Blue | Green | Red | White |
|------|-----|------|-------|------|-------|-----|-------|
| 10 | 5 | 16 | 492 | 467 | 467 | 362 | 442 |
| 11 | 4 | 10 | 398 | 369 | 369 | 329 | 352 |
| 12 | 4 | 4 | 465 | 387 | 387 | 342 | 366 |
| 13 | 3 | 8 | 212 | 160 | 140 | 113 | 140 |
| 14 | 5 | 14 | 504 | 504 | 430 | 384 | 430 |
| 15 | 4 | 2 | 390 | 341 | 301 | 241 | 301 |
| 16 | 4 | 6 | 487 | 442 | 360 | 303 | 360 |
| 17 | 3 | 18 | 198 | 179 | 179 | 133 | 161 |
| 18 | 4 | 12 | 446 | 405 | 353 | 312 | 353 |

**Course:** 18 holes, Par 72 | **Total Yardage (Blue):** 6,418 yards | **Course Rating:** 73.4
