# 伊勢原カントリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 7 | 465 |
| 2 | 4 | 13 | 262 |
| 3 | 3 | 9 | 153 |
| 4 | 4 | 3 | 344 |
| 5 | 5 | 5 | 469 |
| 6 | 4 | 1 | 430 |
| 7 | 4 | 17 | 294 |
| 8 | 3 | 15 | 139 |
| 9 | 4 | 11 | 344 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 5 | 12 | 475 |
| 11 | 4 | 8 | 302 |
| 12 | 3 | 18 | 129 |
| 13 | 4 | 2 | 447 |
| 14 | 5 | 14 | 464 |
| 15 | 3 | 16 | 128 |
| 16 | 4 | 6 | 336 |
| 17 | 4 | 10 | 344 |
| 18 | 4 | 4 | 385 |
