# 磯子カンツリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 15 | 330 |
| 2 | 4 | 3 | 370 |
| 3 | 5 | 9 | 497 |
| 4 | 3 | 7 | 187 |
| 5 | 4 | 1 | 435 |
| 6 | 3 | 13 | 143 |
| 7 | 4 | 11 | 375 |
| 8 | 4 | 17 | 314 |
| 9 | 5 | 5 | 542 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 16 | 326 |
| 11 | 4 | 4 | 357 |
| 12 | 4 | 10 | 366 |
| 13 | 3 | 14 | 145 |
| 14 | 5 | 8 | 502 |
| 15 | 4 | 2 | 334 |
| 16 | 3 | 18 | 147 |
| 17 | 5 | 6 | 537 |
| 18 | 4 | 12 | 395 |
