# 大秦野カントリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 3 | 357 |
| 2 | 4 | 9 | 373 |
| 3 | 3 | 15 | 120 |
| 4 | 5 | 1 | 415 |
| 5 | 4 | 7 | 340 |
| 6 | 3 | 13 | 136 |
| 7 | 4 | 17 | 341 |
| 8 | 5 | 5 | 498 |
| 9 | 4 | 11 | 381 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 10 | 297 |
| 11 | 4 | 4 | 371 |
| 12 | 3 | 16 | 181 |
| 13 | 4 | 8 | 257 |
| 14 | 3 | 14 | 123 |
| 15 | 4 | 2 | 242 |
| 16 | 4 | 18 | 279 |
| 17 | 4 | 12 | 307 |
| 18 | 5 | 6 | 394 |
