# 小田原ゴルフ倶楽部 松田コース - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 9 | 486 |
| 2 | 3 | 15 | 116 |
| 3 | 4 | 3 | 326 |
| 4 | 3 | 7 | 136 |
| 5 | 4 | 1 | 405 |
| 6 | 4 | 13 | 392 |
| 7 | 5 | 11 | 512 |
| 8 | 4 | 5 | 347 |
| 9 | 4 | 17 | 377 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 16 | 358 |
| 11 | 3 | 4 | 123 |
| 12 | 4 | 10 | 346 |
| 13 | 3 | 8 | 131 |
| 14 | 5 | 2 | 549 |
| 15 | 5 | 14 | 519 |
| 16 | 3 | 12 | 135 |
| 17 | 4 | 6 | 394 |
| 18 | 5 | 18 | 467 |
