# 小田原城カントリー倶楽部 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 3 | 395 |
| 2 | 3 | 9 | 210 |
| 3 | 4 | 13 | 306 |
| 4 | 4 | 5 | 386 |
| 5 | 4 | 7 | 323 |
| 6 | 5 | 1 | 638 |
| 7 | 5 | 11 | 463 |
| 8 | 4 | 17 | 286 |
| 9 | 3 | 15 | 209 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 390 |
| 11 | 4 | 14 | 388 |
| 12 | 4 | 16 | 365 |
| 13 | 5 | 10 | 494 |
| 14 | 3 | 8 | 210 |
| 15 | 4 | 6 | 325 |
| 16 | 4 | 12 | 337 |
| 17 | 3 | 18 | 169 |
| 18 | 5 | 2 | 456 |
