# 小田原湯本カントリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 399 |
| 2 | 4 | 15 | 365 |
| 3 | 5 | 3 | 533 |
| 4 | 3 | 17 | 175 |
| 5 | 4 | 1 | 400 |
| 6 | 4 | 13 | 379 |
| 7 | 4 | 7 | 405 |
| 8 | 3 | 11 | 178 |
| 9 | 5 | 5 | 550 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 406 |
| 11 | 5 | 12 | 481 |
| 12 | 4 | 2 | 422 |
| 13 | 3 | 16 | 199 |
| 14 | 4 | 10 | 375 |
| 15 | 4 | 8 | 441 |
| 16 | 4 | 6 | 368 |
| 17 | 3 | 14 | 147 |
| 18 | 4 | 18 | 319 |
