# 神奈川カントリークラブ - Hole-by-Hole Data
# 27-hole course (東/南/西 各9ホール)

## 東コース OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 2 | 561 |
| 2 | 3 | 8 | 145 |
| 3 | 5 | 5 | 478 |
| 4 | 4 | 4 | 360 |
| 5 | 4 | 7 | 311 |
| 6 | 4 | 1 | 378 |
| 7 | 4 | 6 | 318 |
| 8 | 3 | 9 | 135 |
| 9 | 4 | 3 | 415 |

## 南コース IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 3 | 5 | 175 |
| 11 | 5 | 2 | 482 |
| 12 | 3 | 8 | 127 |
| 13 | 4 | 7 | 308 |
| 14 | 4 | 4 | 357 |
| 15 | 4 | 1 | 353 |
| 16 | 5 | 3 | 473 |
| 17 | 4 | 6 | 320 |
| 18 | 4 | 9 | 305 |

## 西コース IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 3 | 8 | 131 |
| 11 | 5 | 5 | 434 |
| 12 | 5 | 2 | 538 |
| 13 | 4 | 1 | 359 |
| 14 | 4 | 7 | 269 |
| 15 | 4 | 4 | 251 |
| 16 | 4 | 6 | 261 |
| 17 | 4 | 3 | 284 |
| 18 | 3 | 9 | 140 |
