# 鎌倉カントリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 9 | 506 |
| 2 | 4 | 3 | 336 |
| 3 | 3 | 15 | 118 |
| 4 | 4 | 7 | 371 |
| 5 | 4 | 1 | 375 |
| 6 | 3 | 13 | 160 |
| 7 | 4 | 17 | 312 |
| 8 | 4 | 5 | 341 |
| 9 | 5 | 11 | 474 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 414 |
| 11 | 4 | 8 | 394 |
| 12 | 3 | 14 | 123 |
| 13 | 5 | 2 | 428 |
| 14 | 4 | 12 | 388 |
| 15 | 4 | 18 | 258 |
| 16 | 3 | 6 | 186 |
| 17 | 4 | 16 | 320 |
| 18 | 5 | 10 | 481 |
