# 鎌倉パブリックゴルフ場 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 1 | 345 |
| 2 | 3 | 13 | 145 |
| 3 | 4 | 3 | 364 |
| 4 | 3 | 17 | 115 |
| 5 | 4 | 15 | 281 |
| 6 | 4 | 5 | 351 |
| 7 | 4 | 7 | 273 |
| 8 | 4 | 11 | 290 |
| 9 | 5 | 9 | 469 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 6 | 343 |
| 11 | 4 | 4 | 386 |
| 12 | 3 | 18 | 106 |
| 13 | 4 | 8 | 341 |
| 14 | 4 | 16 | 318 |
| 15 | 4 | 2 | 328 |
| 16 | 3 | 12 | 116 |
| 17 | 4 | 10 | 290 |
| 18 | 5 | 14 | 440 |
