# 川崎国際生田緑地ゴルフ場 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 9 | 435 |
| 2 | 4 | 3 | 355 |
| 3 | 4 | 15 | 280 |
| 4 | 4 | 7 | 360 |
| 5 | 4 | 1 | 390 |
| 6 | 3 | 17 | 100 |
| 7 | 4 | 13 | 320 |
| 8 | 5 | 5 | 500 |
| 9 | 3 | 11 | 160 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 5 | 12 | 455 |
| 11 | 4 | 8 | 375 |
| 12 | 4 | 2 | 395 |
| 13 | 3 | 14 | 160 |
| 14 | 4 | 4 | 345 |
| 15 | 4 | 16 | 260 |
| 16 | 3 | 18 | 145 |
| 17 | 5 | 6 | 480 |
| 18 | 4 | 10 | 345 |
