# 清川カントリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 1 | 303 |
| 2 | 3 | 15 | 141 |
| 3 | 4 | 13 | 345 |
| 4 | 4 | 7 | 415 |
| 5 | 4 | 5 | 381 |
| 6 | 3 | 17 | 162 |
| 7 | 5 | 9 | 497 |
| 8 | 4 | 3 | 378 |
| 9 | 5 | 11 | 462 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 10 | 345 |
| 11 | 4 | 16 | 335 |
| 12 | 4 | 2 | 329 |
| 13 | 5 | 8 | 506 |
| 14 | 3 | 6 | 183 |
| 15 | 4 | 12 | 344 |
| 16 | 3 | 18 | 161 |
| 17 | 4 | 4 | 423 |
| 18 | 5 | 14 | 476 |
