# キャンプ座間ゴルフクラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 1 | 550 |
| 2 | 4 | 7 | 303 |
| 3 | 4 | 15 | 400 |
| 4 | 3 | 17 | 165 |
| 5 | 4 | 9 | 310 |
| 6 | 5 | 5 | 520 |
| 7 | 4 | 3 | 406 |
| 8 | 3 | 13 | 162 |
| 9 | 4 | 11 | 441 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 3 | 18 | 168 |
| 11 | 5 | 2 | 500 |
| 12 | 4 | 4 | 393 |
| 13 | 4 | 10 | 321 |
| 14 | 4 | 8 | 336 |
| 15 | 3 | 16 | 209 |
| 16 | 4 | 14 | 325 |
| 17 | 5 | 6 | 491 |
| 18 | 4 | 12 | 464 |
