# 相模カンツリー倶楽部 - Hole-by-Hole Data (Aグリーン)

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 13 | 390 |
| 2 | 4 | 17 | 375 |
| 3 | 3 | 9 | 158 |
| 4 | 5 | 5 | 544 |
| 5 | 4 | 1 | 443 |
| 6 | 3 | 15 | 163 |
| 7 | 4 | 3 | 357 |
| 8 | 4 | 7 | 317 |
| 9 | 5 | 11 | 453 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 3 | 12 | 189 |
| 11 | 4 | 14 | 416 |
| 12 | 4 | 2 | 445 |
| 13 | 3 | 10 | 152 |
| 14 | 4 | 6 | 311 |
| 15 | 4 | 4 | 399 |
| 16 | 4 | 16 | 355 |
| 17 | 5 | 8 | 509 |
| 18 | 5 | 18 | 463 |
