# 相模湖カントリークラブ - Hole-by-Hole Data
# 27-hole course (藤/桜/百合 各9ホール)

## 藤OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 6 | 323 |
| 2 | 5 | 3 | 509 |
| 3 | 4 | 1 | 383 |
| 4 | 3 | 8 | 169 |
| 5 | 4 | 2 | 279 |
| 6 | 3 | 9 | 135 |
| 7 | 5 | 4 | 476 |
| 8 | 4 | 5 | 372 |
| 9 | 4 | 7 | 394 |

## 桜IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 3 | 344 |
| 11 | 3 | 8 | 167 |
| 12 | 5 | 1 | 487 |
| 13 | 4 | 5 | 344 |
| 14 | 3 | 9 | 170 |
| 15 | 4 | 2 | 388 |
| 16 | 4 | 6 | 341 |
| 17 | 4 | 4 | 383 |
| 18 | 5 | 7 | 514 |

## 百合OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 4 | 388 |
| 2 | 5 | 2 | 503 |
| 3 | 3 | 8 | 153 |
| 4 | 4 | 6 | 334 |
| 5 | 4 | 5 | 339 |
| 6 | 5 | 1 | 503 |
| 7 | 3 | 9 | 175 |
| 8 | 4 | 3 | 366 |
| 9 | 4 | 7 | 339 |

## 百合IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 3 | 344 |
| 11 | 3 | 8 | 167 |
| 12 | 5 | 1 | 487 |
| 13 | 4 | 5 | 344 |
| 14 | 3 | 9 | 170 |
| 15 | 4 | 2 | 388 |
| 16 | 4 | 6 | 341 |
| 17 | 4 | 4 | 383 |
| 18 | 5 | 7 | 514 |
