# 相模野カントリー倶楽部 - Hole-by-Hole Data
# 27-hole course (愛川/相模/城山 各9ホール)

## 愛川OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 2 | 459 |
| 2 | 3 | 5 | 167 |
| 3 | 4 | 8 | 328 |
| 4 | 4 | 7 | 273 |
| 5 | 3 | 4 | 171 |
| 6 | 5 | 1 | 536 |
| 7 | 4 | 3 | 423 |
| 8 | 4 | 9 | 370 |
| 9 | 4 | 6 | 443 |

## 相模IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 2 | 377 |
| 11 | 3 | 8 | 134 |
| 12 | 4 | 5 | 365 |
| 13 | 4 | 1 | 389 |
| 14 | 3 | 7 | 157 |
| 15 | 5 | 4 | 482 |
| 16 | 4 | 6 | 323 |
| 17 | 5 | 3 | 511 |
| 18 | 4 | 9 | 328 |

## 城山OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 5 | 383 |
| 2 | 3 | 2 | 180 |
| 3 | 4 | 8 | 366 |
| 4 | 5 | 4 | 470 |
| 5 | 5 | 1 | 475 |
| 6 | 3 | 7 | 99 |
| 7 | 4 | 9 | 240 |
| 8 | 4 | 6 | 366 |
| 9 | 4 | 3 | 345 |

## 城山IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 2 | 377 |
| 11 | 3 | 8 | 134 |
| 12 | 4 | 5 | 365 |
| 13 | 4 | 1 | 389 |
| 14 | 3 | 7 | 157 |
| 15 | 5 | 4 | 482 |
| 16 | 4 | 6 | 323 |
| 17 | 5 | 3 | 511 |
| 18 | 4 | 9 | 328 |
