# 相模原ゴルフクラブ - Hole-by-Hole Data
# 36-hole course (東/西コース)

## 東OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 11 | 387 |
| 2 | 5 | 3 | 545 |
| 3 | 4 | 7 | 400 |
| 4 | 4 | 13 | 329 |
| 5 | 3 | 15 | 186 |
| 6 | 4 | 1 | 406 |
| 7 | 4 | 9 | 382 |
| 8 | 3 | 17 | 160 |
| 9 | 5 | 5 | 537 |

## 東IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 8 | 419 |
| 11 | 3 | 14 | 175 |
| 12 | 5 | 2 | 617 |
| 13 | 4 | 10 | 371 |
| 14 | 4 | 4 | 394 |
| 15 | 4 | 16 | 327 |
| 16 | 3 | 18 | 165 |
| 17 | 5 | 12 | 510 |
| 18 | 4 | 6 | 412 |

## 西OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 357 |
| 2 | 3 | 15 | 184 |
| 3 | 5 | 3 | 524 |
| 4 | 4 | 7 | 376 |
| 5 | 4 | 1 | 366 |
| 6 | 3 | 13 | 202 |
| 7 | 5 | 5 | 477 |
| 8 | 4 | 17 | 307 |
| 9 | 4 | 11 | 370 |

## 西IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 3 | 16 | 168 |
| 11 | 4 | 10 | 399 |
| 12 | 4 | 4 | 436 |
| 13 | 5 | 2 | 590 |
| 14 | 3 | 14 | 159 |
| 15 | 4 | 8 | 365 |
| 16 | 4 | 6 | 428 |
| 17 | 4 | 18 | 358 |
| 18 | 5 | 12 | 495 |
