# 湘南シーサイドカントリー倶楽部 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 3 | 577 |
| 2 | 5 | 13 | 466 |
| 3 | 4 | 15 | 285 |
| 4 | 4 | 5 | 427 |
| 5 | 3 | 11 | 186 |
| 6 | 4 | 7 | 392 |
| 7 | 3 | 17 | 135 |
| 8 | 5 | 1 | 556 |
| 9 | 3 | 9 | 168 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 8 | 409 |
| 11 | 4 | 16 | 341 |
| 12 | 4 | 14 | 317 |
| 13 | 3 | 18 | 117 |
| 14 | 5 | 2 | 556 |
| 15 | 5 | 10 | 438 |
| 16 | 3 | 12 | 191 |
| 17 | 3 | 4 | 185 |
| 18 | 5 | 6 | 474 |
