# スリーハンドレッドクラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 11 | 400 |
| 2 | 4 | 5 | 395 |
| 3 | 3 | 17 | 185 |
| 4 | 5 | 3 | 510 |
| 5 | 4 | 9 | 380 |
| 6 | 4 | 1 | 410 |
| 7 | 4 | 13 | 380 |
| 8 | 3 | 15 | 220 |
| 9 | 5 | 7 | 570 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 440 |
| 11 | 3 | 14 | 200 |
| 12 | 4 | 10 | 400 |
| 13 | 5 | 6 | 530 |
| 14 | 4 | 2 | 410 |
| 15 | 4 | 12 | 330 |
| 16 | 3 | 16 | 180 |
| 17 | 5 | 8 | 525 |
| 18 | 4 | 18 | 360 |
