# 富士屋ホテル 仙石ゴルフコース - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 6 | 437 |
| 2 | 5 | 16 | 454 |
| 3 | 3 | 14 | 188 |
| 4 | 4 | 12 | 385 |
| 5 | 4 | 8 | 384 |
| 6 | 4 | 10 | 403 |
| 7 | 5 | 4 | 489 |
| 8 | 4 | 2 | 393 |
| 9 | 3 | 18 | 116 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 11 | 389 |
| 11 | 5 | 9 | 516 |
| 12 | 3 | 13 | 197 |
| 13 | 4 | 1 | 463 |
| 14 | 5 | 5 | 513 |
| 15 | 4 | 7 | 379 |
| 16 | 4 | 17 | 337 |
| 17 | 4 | 3 | 404 |
| 18 | 3 | 15 | 204 |
