# 大厚木カントリークラブ本コース - Hole-by-Hole Data
# 27-hole course (東/南/西 各9ホール)

## 東OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 4 | 575 |
| 2 | 4 | 8 | 372 |
| 3 | 3 | 2 | 197 |
| 4 | 4 | 1 | 429 |
| 5 | 4 | 9 | 332 |
| 6 | 3 | 7 | 178 |
| 7 | 5 | 5 | 534 |
| 8 | 4 | 3 | 390 |
| 9 | 4 | 6 | 391 |

## 南IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 2 | 399 |
| 11 | 3 | 8 | 108 |
| 12 | 4 | 7 | 387 |
| 13 | 4 | 3 | 362 |
| 14 | 4 | 5 | 290 |
| 15 | 5 | 4 | 497 |
| 16 | 4 | 1 | 384 |
| 17 | 3 | 9 | 146 |
| 18 | 5 | 6 | 425 |

## 西OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 6 | 519 |
| 2 | 4 | 8 | 303 |
| 3 | 3 | 3 | 173 |
| 4 | 5 | 1 | 591 |
| 5 | 3 | 9 | 164 |
| 6 | 4 | 5 | 354 |
| 7 | 4 | 7 | 319 |
| 8 | 4 | 2 | 356 |
| 9 | 5 | 4 | 520 |

## 西IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 2 | 399 |
| 11 | 3 | 8 | 108 |
| 12 | 4 | 7 | 387 |
| 13 | 4 | 3 | 362 |
| 14 | 4 | 5 | 290 |
| 15 | 5 | 4 | 497 |
| 16 | 4 | 1 | 384 |
| 17 | 3 | 9 | 146 |
| 18 | 5 | 6 | 425 |
