# 東京ロイヤルゴルフ倶楽部 - Hole-by-Hole Data
# 27-hole course (EAST/NORTH/WEST 各9ホール)

## EASTOUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 5 | 536 |
| 2 | 4 | 8 | 355 |
| 3 | 4 | 2 | 459 |
| 4 | 4 | 4 | 422 |
| 5 | 5 | 1 | 554 |
| 6 | 3 | 7 | 183 |
| 7 | 4 | 3 | 329 |
| 8 | 3 | 9 | 165 |
| 9 | 4 | 6 | 375 |

## NORTHIN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 5 | 5 | 474 |
| 11 | 4 | 8 | 365 |
| 12 | 4 | 2 | 391 |
| 13 | 3 | 7 | 142 |
| 14 | 4 | 4 | 352 |
| 15 | 5 | 1 | 488 |
| 16 | 4 | 3 | 414 |
| 17 | 3 | 9 | 176 |
| 18 | 4 | 6 | 356 |

## WESTOUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 5 | 518 |
| 2 | 3 | 8 | 150 |
| 3 | 4 | 2 | 293 |
| 4 | 4 | 4 | 304 |
| 5 | 4 | 1 | 380 |
| 6 | 3 | 7 | 170 |
| 7 | 5 | 3 | 508 |
| 8 | 4 | 6 | 410 |
| 9 | 4 | 9 | 379 |

## WESTIN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 5 | 5 | 474 |
| 11 | 4 | 8 | 365 |
| 12 | 4 | 2 | 391 |
| 13 | 3 | 7 | 142 |
| 14 | 4 | 4 | 352 |
| 15 | 5 | 1 | 488 |
| 16 | 4 | 3 | 414 |
| 17 | 3 | 9 | 176 |
| 18 | 4 | 6 | 356 |
