# 大箱根カントリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 7 | 499 |
| 2 | 4 | 3 | 426 |
| 3 | 3 | 17 | 170 |
| 4 | 4 | 1 | 428 |
| 5 | 3 | 15 | 163 |
| 6 | 4 | 11 | 373 |
| 7 | 4 | 13 | 407 |
| 8 | 4 | 5 | 412 |
| 9 | 5 | 9 | 522 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 10 | 392 |
| 11 | 4 | 4 | 457 |
| 12 | 3 | 16 | 222 |
| 13 | 5 | 8 | 512 |
| 14 | 4 | 14 | 418 |
| 15 | 5 | 2 | 589 |
| 16 | 4 | 12 | 447 |
| 17 | 3 | 18 | 192 |
| 18 | 5 | 6 | 575 |
