# 太平洋クラブ相模コース - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 9 | 506 |
| 2 | 4 | 15 | 337 |
| 3 | 5 | 3 | 471 |
| 4 | 4 | 1 | 353 |
| 5 | 4 | 7 | 366 |
| 6 | 3 | 13 | 109 |
| 7 | 4 | 11 | 366 |
| 8 | 3 | 17 | 138 |
| 9 | 4 | 5 | 390 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 5 | 6 | 564 |
| 11 | 3 | 16 | 162 |
| 12 | 4 | 10 | 301 |
| 13 | 4 | 8 | 355 |
| 14 | 3 | 14 | 166 |
| 15 | 5 | 2 | 484 |
| 16 | 4 | 12 | 299 |
| 17 | 4 | 18 | 293 |
| 18 | 4 | 4 | 384 |
