# 大厚木カントリークラブ 桜コース - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 11 | 455 |
| 2 | 4 | 7 | 378 |
| 3 | 4 | 15 | 320 |
| 4 | 3 | 9 | 156 |
| 5 | 5 | 1 | 472 |
| 6 | 4 | 17 | 296 |
| 7 | 3 | 13 | 146 |
| 8 | 4 | 3 | 367 |
| 9 | 4 | 5 | 420 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 5 | 4 | 513 |
| 11 | 4 | 2 | 450 |
| 12 | 3 | 8 | 176 |
| 13 | 4 | 6 | 371 |
| 14 | 4 | 18 | 337 |
| 15 | 5 | 16 | 456 |
| 16 | 3 | 10 | 160 |
| 17 | 4 | 14 | 387 |
| 18 | 4 | 12 | 357 |
