# チェックメイトカントリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 9 | 519 |
| 2 | 4 | 15 | 351 |
| 3 | 4 | 3 | 337 |
| 4 | 4 | 13 | 378 |
| 5 | 3 | 7 | 167 |
| 6 | 5 | 1 | 523 |
| 7 | 4 | 17 | 340 |
| 8 | 3 | 11 | 154 |
| 9 | 4 | 5 | 349 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 409 |
| 11 | 5 | 10 | 475 |
| 12 | 4 | 16 | 330 |
| 13 | 3 | 14 | 162 |
| 14 | 4 | 2 | 367 |
| 15 | 3 | 8 | 203 |
| 16 | 4 | 6 | 375 |
| 17 | 5 | 12 | 514 |
| 18 | 4 | 18 | 344 |
