# 津久井湖ゴルフ倶楽部 - Hole-by-Hole Data
# 27-hole course (りんどう/しらゆり/やまぶき 各9ホール)

## りんどうOUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 2 | 495 |
| 2 | 3 | 8 | 138 |
| 3 | 4 | 5 | 313 |
| 4 | 5 | 4 | 461 |
| 5 | 4 | 1 | 311 |
| 6 | 3 | 7 | 129 |
| 7 | 4 | 3 | 394 |
| 8 | 4 | 9 | 358 |
| 9 | 4 | 6 | 350 |

## しらゆりIN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 2 | 397 |
| 11 | 5 | 5 | 479 |
| 12 | 3 | 8 | 101 |
| 13 | 4 | 4 | 350 |
| 14 | 5 | 1 | 399 |
| 15 | 4 | 7 | 328 |
| 16 | 4 | 3 | 387 |
| 17 | 4 | 6 | 359 |
| 18 | 3 | 9 | 159 |

## やまぶきOUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 8 | 350 |
| 2 | 4 | 5 | 375 |
| 3 | 5 | 2 | 547 |
| 4 | 3 | 7 | 171 |
| 5 | 5 | 1 | 390 |
| 6 | 4 | 4 | 327 |
| 7 | 3 | 9 | 139 |
| 8 | 4 | 3 | 415 |
| 9 | 3 | 6 | 161 |

## やまぶきIN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 2 | 397 |
| 11 | 5 | 5 | 479 |
| 12 | 3 | 8 | 101 |
| 13 | 4 | 4 | 350 |
| 14 | 5 | 1 | 399 |
| 15 | 4 | 7 | 328 |
| 16 | 4 | 3 | 387 |
| 17 | 4 | 6 | 359 |
| 18 | 3 | 9 | 159 |
