# 戸塚カントリー倶楽部 - Hole-by-Hole Data
# 36-hole course (西/東コース)

## 西OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 3 | 447 |
| 2 | 5 | 7 | 534 |
| 3 | 4 | 13 | 391 |
| 4 | 4 | 17 | 384 |
| 5 | 3 | 9 | 196 |
| 6 | 4 | 1 | 450 |
| 7 | 5 | 5 | 549 |
| 8 | 3 | 15 | 228 |
| 9 | 4 | 11 | 435 |

## 西IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 402 |
| 11 | 3 | 10 | 230 |
| 12 | 4 | 18 | 333 |
| 13 | 5 | 8 | 540 |
| 14 | 3 | 14 | 200 |
| 15 | 4 | 2 | 465 |
| 16 | 5 | 6 | 634 |
| 17 | 4 | 12 | 417 |
| 18 | 4 | 16 | 426 |

## 東OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 5 | 420 |
| 2 | 5 | 9 | 498 |
| 3 | 4 | 15 | 368 |
| 4 | 3 | 13 | 165 |
| 5 | 5 | 3 | 501 |
| 6 | 3 | 7 | 213 |
| 7 | 4 | 1 | 420 |
| 8 | 4 | 17 | 351 |
| 9 | 4 | 11 | 353 |

## 東IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 451 |
| 11 | 4 | 8 | 377 |
| 12 | 3 | 14 | 221 |
| 13 | 4 | 2 | 429 |
| 14 | 3 | 16 | 177 |
| 15 | 5 | 10 | 535 |
| 16 | 5 | 6 | 545 |
| 17 | 4 | 18 | 317 |
| 18 | 4 | 12 | 408 |
