# 箱根園ゴルフ場 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 260 |
| 2 | 3 | 15 | 125 |
| 3 | 4 | 3 | 326 |
| 4 | 4 | 13 | 350 |
| 5 | 5 | 7 | 500 |
| 6 | 4 | 1 | 380 |
| 7 | 4 | 11 | 320 |
| 8 | 3 | 17 | 131 |
| 9 | 4 | 5 | 365 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 5 | 4 | 480 |
| 11 | 4 | 10 | 289 |
| 12 | 3 | 16 | 135 |
| 13 | 4 | 8 | 361 |
| 14 | 4 | 2 | 340 |
| 15 | 3 | 14 | 110 |
| 16 | 4 | 12 | 260 |
| 17 | 5 | 6 | 436 |
| 18 | 4 | 18 | 350 |
