# 箱根カントリー倶楽部 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 390 |
| 2 | 3 | 15 | 145 |
| 3 | 4 | 3 | 452 |
| 4 | 4 | 1 | 440 |
| 5 | 5 | 7 | 530 |
| 6 | 3 | 13 | 190 |
| 7 | 4 | 17 | 360 |
| 8 | 5 | 5 | 500 |
| 9 | 4 | 11 | 398 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 3 | 16 | 200 |
| 11 | 4 | 4 | 400 |
| 12 | 5 | 10 | 486 |
| 13 | 4 | 8 | 390 |
| 14 | 3 | 14 | 195 |
| 15 | 5 | 2 | 546 |
| 16 | 4 | 18 | 370 |
| 17 | 4 | 6 | 450 |
| 18 | 4 | 12 | 427 |
