# 箱根くらかけゴルフ場 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 15 | 515 |
| 2 | 4 | 5 | 347 |
| 3 | 3 | 11 | 138 |
| 4 | 4 | 1 | 398 |
| 5 | 4 | 17 | 375 |
| 6 | 4 | 3 | 365 |
| 7 | 3 | 9 | 139 |
| 8 | 5 | 13 | 516 |
| 9 | 5 | 7 | 506 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 18 | 333 |
| 11 | 4 | 8 | 377 |
| 12 | 3 | 12 | 169 |
| 13 | 4 | 6 | 408 |
| 14 | 4 | 2 | 387 |
| 15 | 4 | 16 | 336 |
| 16 | 4 | 14 | 335 |
| 17 | 3 | 4 | 182 |
| 18 | 5 | 10 | 479 |
