# 箱根湖畔ゴルフコース - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 3 | 610 |
| 2 | 5 | 15 | 495 |
| 3 | 4 | 9 | 361 |
| 4 | 3 | 13 | 151 |
| 5 | 4 | 1 | 406 |
| 6 | 4 | 7 | 340 |
| 7 | 4 | 5 | 420 |
| 8 | 3 | 11 | 160 |
| 9 | 4 | 17 | 331 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 422 |
| 11 | 3 | 10 | 189 |
| 12 | 4 | 16 | 323 |
| 13 | 4 | 8 | 310 |
| 14 | 3 | 14 | 107 |
| 15 | 5 | 2 | 487 |
| 16 | 4 | 6 | 456 |
| 17 | 4 | 18 | 364 |
| 18 | 5 | 12 | 556 |
