# 箱根湯の花ゴルフ場 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 3 | 11 | 152 |
| 2 | 4 | 13 | 354 |
| 3 | 4 | 9 | 321 |
| 4 | 4 | 5 | 329 |
| 5 | 4 | 3 | 355 |
| 6 | 3 | 17 | 120 |
| 7 | 5 | 15 | 405 |
| 8 | 4 | 1 | 330 |
| 9 | 4 | 7 | 342 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 12 | 311 |
| 11 | 4 | 2 | 373 |
| 12 | 4 | 14 | 351 |
| 13 | 5 | 10 | 441 |
| 14 | 3 | 16 | 125 |
| 15 | 4 | 6 | 271 |
| 16 | 3 | 18 | 136 |
| 17 | 4 | 8 | 325 |
| 18 | 5 | 4 | 452 |
