# 秦野カントリークラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 13 | 343 |
| 2 | 4 | 5 | 326 |
| 3 | 4 | 15 | 343 |
| 4 | 3 | 9 | 164 |
| 5 | 4 | 11 | 356 |
| 6 | 5 | 3 | 478 |
| 7 | 3 | 17 | 93 |
| 8 | 5 | 1 | 530 |
| 9 | 4 | 7 | 382 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 3 | 16 | 146 |
| 11 | 4 | 10 | 358 |
| 12 | 4 | 6 | 446 |
| 13 | 4 | 14 | 366 |
| 14 | 5 | 2 | 618 |
| 15 | 4 | 12 | 353 |
| 16 | 4 | 4 | 315 |
| 17 | 3 | 18 | 132 |
| 18 | 5 | 8 | 520 |
