# 東京カントリー倶楽部 - Hole-by-Hole Data
# 27-hole course (東OUT+東IN=18H + 南9H)

## 東OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 5 | 506 |
| 2 | 3 | 8 | 188 |
| 3 | 4 | 2 | 370 |
| 4 | 4 | 4 | 375 |
| 5 | 4 | 1 | 417 |
| 6 | 4 | 7 | 297 |
| 7 | 5 | 6 | 498 |
| 8 | 4 | 3 | 382 |
| 9 | 3 | 9 | 185 |

## 東IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 2 | 381 |
| 11 | 4 | 8 | 322 |
| 12 | 3 | 5 | 195 |
| 13 | 4 | 4 | 373 |
| 14 | 4 | 1 | 424 |
| 15 | 4 | 7 | 325 |
| 16 | 5 | 6 | 482 |
| 17 | 3 | 9 | 139 |
| 18 | 5 | 3 | 504 |

## 南OUT (9ホール)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 8 | 419 |
| 2 | 4 | 2 | 388 |
| 3 | 5 | 5 | 490 |
| 4 | 4 | 1 | 383 |
| 5 | 3 | 7 | 172 |
| 6 | 4 | 4 | 372 |
| 7 | 5 | 6 | 482 |
| 8 | 4 | 9 | 360 |
| 9 | 3 | 3 | 208 |

## 南IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 2 | 381 |
| 11 | 4 | 8 | 322 |
| 12 | 3 | 5 | 195 |
| 13 | 4 | 4 | 373 |
| 14 | 4 | 1 | 424 |
| 15 | 4 | 7 | 325 |
| 16 | 5 | 6 | 482 |
| 17 | 3 | 9 | 139 |
| 18 | 5 | 3 | 504 |
