# 葉山国際カンツリー倶楽部 - Hole-by-Hole Data
# 36-hole course (ダイヤモンド/エメラルド)

## ダイヤモンドOUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 5 | 406 |
| 2 | 3 | 15 | 165 |
| 3 | 4 | 9 | 288 |
| 4 | 4 | 7 | 427 |
| 5 | 3 | 13 | 165 |
| 6 | 5 | 1 | 556 |
| 7 | 4 | 3 | 462 |
| 8 | 5 | 11 | 500 |
| 9 | 4 | 17 | 340 |

## ダイヤモンドIN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 350 |
| 11 | 5 | 10 | 510 |
| 12 | 3 | 16 | 145 |
| 13 | 4 | 2 | 455 |
| 14 | 4 | 14 | 395 |
| 15 | 5 | 8 | 515 |
| 16 | 4 | 6 | 455 |
| 17 | 3 | 18 | 120 |
| 18 | 4 | 12 | 355 |

## エメラルドOUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 338 |
| 2 | 4 | 5 | 325 |
| 3 | 4 | 13 | 304 |
| 4 | 3 | 17 | 118 |
| 5 | 5 | 7 | 408 |
| 6 | 5 | 1 | 487 |
| 7 | 4 | 3 | 376 |
| 8 | 3 | 15 | 137 |
| 9 | 4 | 11 | 313 |

## エメラルドIN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 3 | 18 | 142 |
| 11 | 4 | 10 | 275 |
| 12 | 4 | 4 | 400 |
| 13 | 3 | 16 | 154 |
| 14 | 5 | 2 | 584 |
| 15 | 4 | 8 | 375 |
| 16 | 4 | 6 | 390 |
| 17 | 3 | 14 | 200 |
| 18 | 5 | 12 | 430 |
