# 平塚富士見カントリークラブ - Hole-by-Hole Data
# 36-hole course (平塚/大磯コース)

## 平塚OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 9 | 529 |
| 2 | 4 | 3 | 448 |
| 3 | 4 | 15 | 314 |
| 4 | 4 | 1 | 445 |
| 5 | 4 | 7 | 385 |
| 6 | 3 | 13 | 189 |
| 7 | 5 | 5 | 509 |
| 8 | 3 | 17 | 170 |
| 9 | 4 | 11 | 350 |

## 平塚IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 10 | 364 |
| 11 | 5 | 4 | 536 |
| 12 | 3 | 16 | 158 |
| 13 | 4 | 8 | 355 |
| 14 | 4 | 2 | 430 |
| 15 | 3 | 14 | 127 |
| 16 | 5 | 6 | 620 |
| 17 | 4 | 18 | 350 |
| 18 | 4 | 12 | 388 |

## 大磯OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 9 | 544 |
| 2 | 3 | 15 | 147 |
| 3 | 4 | 3 | 385 |
| 4 | 4 | 7 | 430 |
| 5 | 4 | 13 | 375 |
| 6 | 5 | 1 | 535 |
| 7 | 4 | 5 | 355 |
| 8 | 3 | 17 | 210 |
| 9 | 4 | 11 | 350 |

## 大磯IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 445 |
| 11 | 4 | 10 | 336 |
| 12 | 3 | 16 | 131 |
| 13 | 4 | 8 | 406 |
| 14 | 4 | 14 | 340 |
| 15 | 5 | 2 | 493 |
| 16 | 4 | 6 | 421 |
| 17 | 3 | 18 | 186 |
| 18 | 5 | 12 | 480 |
