# 小田急藤沢ゴルフクラブ - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 11 | 482 |
| 2 | 4 | 7 | 322 |
| 3 | 3 | 9 | 127 |
| 4 | 4 | 1 | 331 |
| 5 | 3 | 17 | 128 |
| 6 | 4 | 3 | 306 |
| 7 | 4 | 15 | 257 |
| 8 | 4 | 5 | 308 |
| 9 | 5 | 13 | 449 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 12 | 307 |
| 11 | 4 | 8 | 292 |
| 12 | 3 | 14 | 120 |
| 13 | 3 | 18 | 107 |
| 14 | 4 | 6 | 337 |
| 15 | 4 | 2 | 378 |
| 16 | 5 | 4 | 441 |
| 17 | 5 | 10 | 465 |
| 18 | 4 | 16 | 276 |
