# 芙蓉カントリー倶楽部 - Hole-by-Hole Data (GIグリーン)

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 364 |
| 2 | 4 | 3 | 327 |
| 3 | 4 | 15 | 302 |
| 4 | 4 | 1 | 412 |
| 5 | 3 | 13 | 160 |
| 6 | 4 | 7 | 360 |
| 7 | 3 | 17 | 141 |
| 8 | 5 | 5 | 536 |
| 9 | 4 | 11 | 405 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 10 | 396 |
| 11 | 4 | 4 | 359 |
| 12 | 4 | 16 | 342 |
| 13 | 3 | 14 | 175 |
| 14 | 5 | 2 | 530 |
| 15 | 4 | 8 | 346 |
| 16 | 3 | 18 | 143 |
| 17 | 4 | 6 | 340 |
| 18 | 4 | 12 | 433 |
