# 程ヶ谷カントリークラブ - Hole-by-Hole Data (Aグリーン)

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 410 |
| 2 | 5 | 3 | 526 |
| 3 | 3 | 17 | 165 |
| 4 | 4 | 11 | 356 |
| 5 | 4 | 5 | 392 |
| 6 | 5 | 1 | 585 |
| 7 | 4 | 13 | 342 |
| 8 | 3 | 15 | 202 |
| 9 | 4 | 7 | 442 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 442 |
| 11 | 4 | 10 | 360 |
| 12 | 3 | 16 | 176 |
| 13 | 5 | 2 | 502 |
| 14 | 4 | 6 | 436 |
| 15 | 4 | 14 | 348 |
| 16 | 4 | 8 | 382 |
| 17 | 3 | 18 | 188 |
| 18 | 5 | 12 | 544 |
