# 本厚木カンツリークラブ - Hole-by-Hole Data (Pグリーン)

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 390 |
| 2 | 4 | 15 | 333 |
| 3 | 4 | 3 | 401 |
| 4 | 3 | 13 | 191 |
| 5 | 4 | 1 | 421 |
| 6 | 5 | 7 | 505 |
| 7 | 3 | 17 | 140 |
| 8 | 4 | 11 | 426 |
| 9 | 5 | 5 | 541 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 402 |
| 11 | 3 | 16 | 151 |
| 12 | 4 | 10 | 395 |
| 13 | 4 | 8 | 394 |
| 14 | 4 | 2 | 422 |
| 15 | 3 | 14 | 208 |
| 16 | 5 | 6 | 551 |
| 17 | 4 | 18 | 404 |
| 18 | 5 | 12 | 526 |
