# 湯河原カンツリー倶楽部 - Hole-by-Hole Data

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 410 |
| 2 | 3 | 15 | 175 |
| 3 | 4 | 3 | 348 |
| 4 | 5 | 1 | 433 |
| 5 | 4 | 13 | 355 |
| 6 | 4 | 7 | 362 |
| 7 | 3 | 17 | 173 |
| 8 | 5 | 5 | 530 |
| 9 | 4 | 11 | 440 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 5 | 10 | 515 |
| 11 | 4 | 16 | 275 |
| 12 | 5 | 4 | 450 |
| 13 | 3 | 14 | 162 |
| 14 | 4 | 2 | 457 |
| 15 | 4 | 8 | 312 |
| 16 | 4 | 12 | 270 |
| 17 | 3 | 18 | 154 |
| 18 | 4 | 6 | 430 |
