# 横浜カントリークラブ - Hole-by-Hole Data
# 36-hole course (東/西コース)

## 東OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 368 |
| 2 | 3 | 15 | 140 |
| 3 | 5 | 3 | 490 |
| 4 | 4 | 1 | 358 |
| 5 | 4 | 7 | 330 |
| 6 | 3 | 13 | 162 |
| 7 | 5 | 5 | 535 |
| 8 | 4 | 17 | 324 |
| 9 | 4 | 11 | 394 |

## 東IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 10 | 354 |
| 11 | 5 | 4 | 487 |
| 12 | 3 | 16 | 140 |
| 13 | 4 | 2 | 388 |
| 14 | 4 | 14 | 352 |
| 15 | 3 | 8 | 193 |
| 16 | 5 | 6 | 566 |
| 17 | 4 | 18 | 439 |
| 18 | 5 | 12 | 492 |

## 西OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 9 | 447 |
| 2 | 3 | 13 | 168 |
| 3 | 4 | 7 | 294 |
| 4 | 4 | 3 | 514 |
| 5 | 5 | 5 | 523 |
| 6 | 4 | 17 | 337 |
| 7 | 4 | 1 | 504 |
| 8 | 4 | 15 | 387 |
| 9 | 3 | 11 | 237 |

## 西IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 516 |
| 11 | 4 | 10 | 418 |
| 12 | 3 | 18 | 185 |
| 13 | 5 | 2 | 536 |
| 14 | 4 | 8 | 416 |
| 15 | 5 | 14 | 529 |
| 16 | 3 | 16 | 182 |
| 17 | 4 | 6 | 330 |
| 18 | 4 | 12 | 415 |
