# レイクウッドゴルフクラブ - Hole-by-Hole Data
# 36-hole course (東/西コース)

## 東OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 8 | 368 |
| 2 | 5 | 16 | 451 |
| 3 | 4 | 10 | 361 |
| 4 | 3 | 12 | 159 |
| 5 | 4 | 2 | 395 |
| 6 | 4 | 6 | 395 |
| 7 | 3 | 14 | 118 |
| 8 | 4 | 18 | 307 |
| 9 | 5 | 4 | 519 |

## 東IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 9 | 356 |
| 11 | 4 | 15 | 365 |
| 12 | 5 | 7 | 464 |
| 13 | 3 | 13 | 132 |
| 14 | 4 | 3 | 432 |
| 15 | 3 | 11 | 142 |
| 16 | 4 | 5 | 388 |
| 17 | 4 | 17 | 342 |
| 18 | 5 | 1 | 527 |

## 西OUT

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 5 | 3 | 545 |
| 2 | 4 | 5 | 420 |
| 3 | 4 | 13 | 336 |
| 4 | 3 | 15 | 150 |
| 5 | 5 | 7 | 481 |
| 6 | 4 | 17 | 324 |
| 7 | 3 | 11 | 155 |
| 8 | 4 | 1 | 362 |
| 9 | 4 | 9 | 351 |

## 西IN

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 6 | 402 |
| 11 | 3 | 18 | 153 |
| 12 | 5 | 4 | 511 |
| 13 | 4 | 10 | 371 |
| 14 | 5 | 2 | 502 |
| 15 | 4 | 8 | 362 |
| 16 | 4 | 14 | 367 |
| 17 | 3 | 16 | 140 |
| 18 | 4 | 12 | 365 |
