# レインボーカントリー倶楽部 - Hole-by-Hole Data (Bグリーン)

## OUT (Holes 1-9)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 1 | 4 | 15 | 391 |
| 2 | 5 | 9 | 512 |
| 3 | 4 | 3 | 437 |
| 4 | 3 | 13 | 167 |
| 5 | 4 | 1 | 469 |
| 6 | 4 | 7 | 356 |
| 7 | 3 | 17 | 171 |
| 8 | 5 | 5 | 550 |
| 9 | 4 | 11 | 425 |

## IN (Holes 10-18)

| Hole | Par | HDCP | Yardage |
|------|-----|------|---------|
| 10 | 4 | 4 | 446 |
| 11 | 4 | 16 | 364 |
| 12 | 5 | 10 | 515 |
| 13 | 3 | 14 | 178 |
| 14 | 5 | 2 | 539 |
| 15 | 3 | 8 | 240 |
| 16 | 4 | 18 | 383 |
| 17 | 4 | 12 | 444 |
| 18 | 4 | 6 | 457 |
